Channel;x;y;
Fpz;0;5;
Fp1;-1,482;4,77;
Fp2;1,482;4,77;
Af7;-3;4;
Af3;-1,5;3,66;
Afz;0;3,54;
Af8;3;4;
Af4;1,5;3,66;
F7;-4,07;2,9;
F5;-3;2,63;
F3;-2;2,44;
F1;-0,93;2,33;
Fz;0;2,3;
F8;4,07;2,9;
F6;3;2,63;
F4;2;2,44;
F2;0,93;2,33;
Ft7;-4,77;1,5;
Fc5;-3,71;1,24;
Fc3;-2,62;1,04;
Fc1;-1,33;0,898;
Fcz;0;0,85;
Ft8;4,77;1,5;
Fc6;3,71;1,24;
Fc4;2,62;1,04;
Fc2;1,33;0,898;
T9;-6,28;0;
T7;-5;0;
C5;-4;0;
C3;-2,5;0;
C1;-1,3;0;
Cz;0;0;
T10;6,28;0;
T8;5;0;
C6;4;0;
C4;2,5;0;
C2;1,3;0;
Oz;0;-5;
O1;-1,482;-4,77;
O2;1,482;-4,77;
Po7;-3;-4;
Po3;-1,5;-3,66;
Poz;0;-3,54;
Po8;3;-4;
Po4;1,5;-3,66;
P7;-4,07;-2,9;
P5;-3;-2,63;
P3;-2;-2,44;
P1;-0,93;-2,33;
Pz;0;-2,3;
P8;4,07;-2,9;
P6;3;-2,63;
P4;2;-2,44;
P2;0,93;-2,33;
Tp7;-4,77;-1,5;
Cp5;-3,71;-1,24;
Cp3;-2,62;-1,04;
Cp1;-1,33;-0,898;
Cpz;0;-0,85;
Tp8;4,77;-1,5;
Cp6;3,71;-1,24;
Cp4;2,62;-1,04;
Cp2;1,33;-0,898;
Iz;0;-6;
